1. Shelfmark	2. Part	3. Author	4. Works	5. Language(s)	6. Format	7. Support	8. Binding	9. Decoration, Illustrations	10. Date	11. Not before (year)	12. Not after (year)	13.Origin 1	14.Origin 2	15. Provenance	16. Page number in Coxe	17. IMOCL	18. IMEP page number	19. Notes	20. Bibliography
University College MS. 75		Guilelmus Peraldus, approximately 1190-1271	Sermones Dominicales (Epistles)	Latin		paper	Contemporary white tawed skin over wooden boards	small flourish initials.	s. XV	1400	1500	England		“fol 44r John Dowetyng.  Ex dono Magr Willi As[plyon] (label on back cover)” (DHC) See University College MS. 57 (companion volume)	22				
University College MS. 76			Repertorium de re theologica philosophicaque	Latin		paper	Contemporary white leather over wooden boards		s. XV	1400	1500	England		"olim Johannis Castell." (Coxe). Commonplace book of John Castell, Master of Univ., 1410-20.	22				
University College MS. 77				Latin	codex	vellum	White leather over square ended wooden boards		s. XIII	1200	1300	England		 "de communitate fratrum minorum Salopie [Shrewsbury, Franciscans]." (f. 2r) "olim liber de communitate fratrum minorum Salopiæ, postea ex librario monasterii de Hangmod [Haughmond] sumptus et Ricardo Fowler præsentatus a Johanne Shelrock, rectore de Smethcott, 4 Aug. 1606." (Coxe)  Label of gift to college, 1606, behind horn window on spine.	22				
			Gospel of Matthew, glossed																
			Treatise on the Mass																
			Gospel of Luke, glossed																
University College MS. 78A			Missal, use of Hereford	Latin ; Middle English	codex	vellum	Leather spine, exposed wooden boards (rebacked).	"Fine borders, fine and other initials." (IMOCL)	s. XVin.	1400	1450	England		 "olim Gul. Rogers, ex hospit. Lincoln. 1668." (Coxe) "Dedication of Hereford Cathedral in the calendar. Dedication of St Dubricius, Whitchurch, Monmouthshire, probably a contemporary addition. Given in 1668 by William Rogers of Painswyck, commoner, fols. 1,7, 227v." (IMOCL) Parish of Whitchurch, Herefordshire (Ker, p. 389).	23	Cat. No. 422	pp. 108-9		
University College MS. 78B			Missal, use of York	Latin		vellum	Contemporary trimmed chemise binding	Illuminated, flourish initials. "Sketch of a figure, fol. 184v." (IMOCL)	s. XVmed.	1430	1470	England.		 "olim ecclesiæ de Cocknay ex dono Willelmi Sheppard." (Coxe) "Calendar (feast of relics 19 Oct.) suggests York Minster. Obit of Margaret Haverham, 1532. Given to Cuckney church by William Sheppard. Fols. 1, 184v. Given to the College by Thomas Walker, master (d. 1665)." (IMOCL)	23	Cat. No. 509			
University College MS. 79		Rainerius, de Pisis, -approximately 1348	Summæ Theologiæ (pars prima, A-E)	Latin		paper	Contemporary white leather over wooden boards. Nail and chain marks.		s. XV	1400	1500	England.		 "ex dono Will. Asplyon, unius e xij. Sacerdotibus monast. S. Salvatoris in Sion; 1473." (Coxe)	23				
University College MS. 80		Rainerius, de Pisis, -approximately 1348	Summæ Theologiæ (pars altera, E-I)	Latin		paper	Contemporary white leather over wooden boards		s. XV	1400	1500	England.			23				
University College MS. 81A		Rainerius, de Pisis, -approximately 1348	Summæ Theologiæ (volumen quarta, P-R)	Latin		paper	Contemporary white leather over wooden boards		s. XV	1400	1500	England.			23				
University College MS. 81B			Alphabetum narrationum, In vitis patrum	Latin		paper	Contemporary white leather over wooden boards		s. XV	1400	1500	England.			23				
University College MS. 82			Cartulary of St John's Beverley (Beverley Minster)	Latin	codex	vellum	"Metal cross, a roundel with a distich under horn cover on more recent binding of brown leather on pasteboard." (IMOCL)	"Fine historiated initials (drawings). Calligraphic interlace initials." (IMOCL) Late fourtheenth century drawing of Athelstan and St John of Beverley (f. 7r).	s. XV	1400	1500	England.		 "St. John's, Beverley, Yorks." (IMOCL)	24	Cat. No. 548			
University College MS. 84		Justinian	Codex, glossed by Franciscus Accurius	Latin	codex	vellum	English 15th-century white leather over wooden boards (lacking clasps)		s. XIII	1200	1300			"ex dono Thomæ Walker, S.T.P. magistri." (Coxe)	25				
University College MS. 85					codex	vellum	19th-century brown leather	Two half-page miniatures , borders (including two full bar borders) and text decoration	s. XVmed.-ex.	1430	1500	England	London	"Crest, two arms embossed vested azure, holding between the hands proper a garb or and the motto 'Oublier ne doit', pp. 1, 70. Verses in French by Michel Otheu [Otthen], physician of Emperor Maxmilian II addressed to Anne, duchess of Somerset, added pp. 2, 18, 180, 1585." (IMOCL) Possibly given by Obadiah Walker, s. VXII.	25	Cat. No. 549	p. 108-9		
		Alain Chartier	Quadrilogue invectif	Middle English															
		Pseudo-Aristotle (trans. John Lydgate)	Secreet of Secreets	Middle English															
			Three consideracions right necessarye to the good gouernaunce of a prince	Middle English															
University College MS. 86		Gratian, active 12th century	Decretum	Latin	codex	vellum	14th-century tawed leather over wooden boards to page edge. Originally had seven clasps. 	"Good miniature. Fine initials. Fine penwork initials. Marginal sketch, fol. 267. Fols. 189-243 an insertion of saec. xiii in. with fine penwork initials." (IMOCL)	s. XIIIex.	1260	1300	England	Durham (?)	"olim armarioli communis Dunelmensis, postea Johannis de Kelton." (Coxe) Give by Charles Hales. (DHC) "Ex libris of Durham cathedral and pressmark 'Q', saec. xv. fol. 1. (IMOCL)	26	Cat. No. 265			
University College MS. 87		Augustine, Saint, Bishop of Hippo	Contra Faustum manichaeum	Latin		vellum	19th-century reversed leather	Interlace initial with faces, initials in red, blue, and green.	s. XIIin.	1100	1150	England.			26	Cat. No. 12			
University College MS. 88		Forrest, William, 1530-1581	The history of Joseph	Latin		vellum	Contemporary gilt-stamped calf with arabesque corner pieces, lion mask brass bosses at corners (one lacking, binding restored).		s. XVI	1500	1600	England. 		Autograph manuscript and presentation copy. Gift of C. Theyer (DHC).	26			This is volume I. Volume II is British Library, MS Royal 18.C.XIII	
University College MS. 89					codex	vellum	16th-century blind-tooled calf ruled and tooled with diamonds containing sprays decorated with petals (upper joint split, lacking clasps and catches)	Illuminated and flourish initials	s. XIV	1300	1400				26				
		Galen	Microtechnon	Latin															
		Hippocrates, v460-v370	Aphorisms	Latin															
		Hippocrates, v460-v370	Prognostica	Latin															
		Hippocrates, v460-v370	Regimen acutorum	Latin															
University College MS. 90			Lands of the earl of Ormonde	English	codex	paper	17th-century gilt stamped with Carew arms 		s. XV	1400	1500	England or Ireland. 		Copied from the Red Book by William White, 1480, from the collection of Sir George Carew, earl of Totnes (1555-1629).	27		p. 109		
University College MS. 91		Guilelmus Peraldus, approximately 1190-1271	De vitiis septem	Latin		vellum	Contemporary doeskin over wooden boards (lacking clasps)	Flourish initials	s. XIII	1200	1300	France. 		"olim decani de Crediton, ex legatione W. Palmer, postea Gulielmi Muggi ex dono Georgii Mason." Bequeathed to Crediton church by William Palmer who had bought it from the London stationer Thomas Veysey in 1433	27				
University College MS. 92		Robert Cowton, active 1302-1340	Commentarius in Sententiarum (librum primum)	Latin	codex	vellum	Contemporary, perhaps original, white leather over wooden boards, straps with brass clasps and catches	Flourish initials	s. XIV	1300	1400	England.			27				
University College MS. 93		Anon	Lecturæ de controversiis inter reformatos et ecclesiam romanam, 1586-1588	Latin		paper	Contemporary blind-stamped brown leather (very worn), 12th-century parchment folios as lifted endleaves		s. XVI	1500	1600	England.			27				
University College MS. 94		Diogenes Laertius 	De vitis philosophorum, trans. by Ambrogio Traversari	Italian		vellum	Contemporary blind-stamped knotwork binding (slightly rubbed, lacking clasps and catches)	Fine humanist script, white vine border and initials, coat of arms. "manu Italica optime exaratus et quoad literas initiales ornatus." (Coxe)	s. XV	1400	1500	Italy	Ferrara	Ferrara. "olim Thomæ Kech ex dono M. Thomæ Gandy." (Coxe) Given by John Hales (DHC)	27	Cat. No. 988			
University College MS. 95					codex	vellum	17th-century limp vellum (leaf from upper cover now University College MS. 192)	Flourish initials	s. XV	1400	1500	England.		 Once belonged to Edington Priory. "olim Johannis Naylor, coll. Univ. socii." (Coxe)	28				
			Liber dictus Rosarium	Latin															
			List of Gospels and Epistles for the year	Latin															
		Hugh, of Saint-Victor, 1096?-1141	De archa Noe (fragment)	Latin															
University College MS. 96			Wycliffite Summary of the Old Testament with Interpretations of Scripture (including the General Prologue to the Wycliffite Bible); Gospel lections in Middle English for Easter and Palm Sunday	Middle English	codex	vellum	Unbound	Red initials. Spaces left for initials. Script is Anglican showing Secretary influence.	s. XVin./med.	1400	1470	England.	Printed in London, 1550 (Coxe) 	 "This book seemeth to have been made by  John  Wickliffe." "I take this note to be of Mr Obad. Walker’s handwriting. Teste Guil. Smith, Aug. 26, 1700." (Notes on the flyleaf) "List of contents in the hand of O. Walker." (anonymous note in Duke Humphrey copy of Coxe)	28		p. 109		
University College MS. 97					codex		Contemporary			1350	1500			"olim ecclesiæ [S. Petri] de [Westmonasertio?] in qua Blanchia ducissa Lancastriæ an. 1368 sepulta; postea coll. Univ e dono Th. Walker, magistri." (Coxe)	28		p. 109-12		
	1		Prophecies of St Thomas of Canterbury	Middle English		vellum and paper			s. XIVex.					England.					
			Gesta romanorum moralista	Latin															
			Papal Bull (to Thomas Bourchier, archbishop of Canterbury, dated 1456)																
	2		Devotional treatises	Middle English		vellum			s. XV										
			Wycliffite version of Visitatio infirmorum																
			Short chronicles																
		Sir Johne Clanvowe	Treatise																
			Documents and chronicles relating to St Paul's Cathedral, London																
University College MS. 98		Gregory, I, Pope, approximately 540-604	Pastoralis curæ	Latin	codex	vellum	19th-century half morocco	One large patterned initial, initials & ampersands in green and red	s. XII	1100	1200	England.			29				
University College MS. 99			Collection of nine treastises, incl. Gregory the Great (Pastoralis curæ), Augustine of Hippo (De conflictu vitiorum, De disciplina christiana), Pseudo-Aritstotle (De pomo)	Latin	codex	paper	Contemporary tawed skin over bevelled wooden boards with two catches (lacking straps and clasps). Papal bull of 1380 in favour of Patrick Asseburne as endleaves.		s. XVin.	1400	1450	England.		 “manu M.T. de Ashburne scriptus; olim Roberti Halytreholme” (Coxe)	30				
University College MS. 100					codex	vellum	Medieval trimmed chemise of white doeskin over wooden boards to page edges, strap.	Flourish initials. "Good miniatures (mainly coloured drawings). Good penwork initials." (IMOCL)	s. XIIIex.	1250	1300			"ex dono Gul. Rogers de Painswyck." (Coxe) "Given in 1669 by William Rogers of Painswyck, commoner, fols. 1, 98." (IMOCL)	30	Cat. No. 259			
			Apocalypse of John	French															
			Carmen de vita et morte B. Mariæ Virginis	French															
University College MS. 101			Breviary (Cluny) with additional texts	Latin		vellum	17th- or 18th-century limp vellum		s. XIIex.	1150	1200	England	Monk Bretton and Pontefract		30				
University College MS. 102		Mirk, John, active 1403?	Festial (temporal section with two additional sermons)	Middle English	codex	paper	Contemporary pink-stained leather (lacking clasp and catch)	Initials touched red.	s. XV	1400	1500	England			31		p. 112-9		
University College MS. 104		Julian of Toledo, 0642?-0690	Prognosticon futuri sæculi	Latin	codex	vellum	Original wooden boards and tabs at spine, early rebacking in tawed skin	Green and red initials	s. XI	1000	1100	England	Battle Abbey		31				
University College MS. 106			Pocket Bible (with the Prologues of St Jerome)		codex	vellum	Calf with gilt lettering (recording donation by William Percyval of Shenley in 1616)	Decorated, flourish initials throughout.	s. XIV	1300	1400			"ex dono Gulielmi Percyval, de Shenlye, co. Buckingham. 1616." (Coxe)	32				
University College MS. 107			Statuta Angliæ	Latin and French		vellum	17th-century		s. XIV	1300	1400	England.		 Thomas Parlysh (s. XVI) fol. 168 (DHC)	32				
University College MS. 108		Ogilvy of Boyne	Cartulary	Latin	codex	paper	Original limp vellum with monogram "OB" on upper cover.		s. XVI	1500	1600	Scotland			32				
University College MS. 109					codex	vellum	Contemporary white leather over wooden boards	Flourish initials in red and blue.	s. XV	1400	1500	England		"olim Thomæ Raynes, postea Ricardi Gosmore, deinde Thomæ Browne et denique coll. Univ. ex dono Thomæ Walker, magistri." (Coxe)	33				
		Jacobus, de Voragine, approximately 1229-1298	Sermons	Latin															
		John Chrysostom, Saint, -407	De compunctione cordis	Latin															
		John Chrysostom, Saint, -407	De reparatione lapsi	Latin															
		John Chrysostom, Saint, -407	Quod nemo læditur nisi Seipso	Latin															
		Grossteste, Robert, 1175?-1253	Liber de confessione	Latin															
		Augustine, Saint, Bishop of Hippo	De vera et falsa pœnitentia	Latin															
		Augustine, Saint, Bishop of Hippo	De septem peccatis mortalibus & De quinque sensibus	Latin															
University College MS. 110		Duns Scotus, Johannes, 1265-1308	Quæstiones quodlibetales	Latin	codex	vellum	15th-century panelled calf, tooled, includes rabbit, agnus dei, dog and bird (restored)	Flourish initials. Written M.J. Goold (Coxe, f. 134).	s. XV	1400	1500	England		"olim Galfridi Burdon." (Coxe)	33				
University College MS. 112		Petrus, Comestor, active 12th century	Historia Scholastica	Latin	codex	vellum	14th-century doeskin over wooden boards to text block, parallel raised bands.	Illuminated."Fine historiated and other initials. Good penwork initials." (IMOCL)	s. XIIIin.	1200	1250	France. 		"The will of Stephanus atte Roche, vicar of Fen Ditton, Cambs., 1381, formerly lining the upper cover of the binding, is now University College MS. 192, fol. 29." (IMOCL)		Cat. No. 655			
University College MS. 113						vellum	Loose in cardboard.		s. XIII	1200	1300	England	Dominican convent, Beverley	England. Beverley Dominicans (Ker). "olim ecclesiæ S. Mariæ Rievallensis, ex dono, ut videtur, Johannis de Elyngton, postea C. Hyldyard." (Coxe)	34			List of contents in hand of Obadiah Walker.	
		Peter Lombard, Bishop of Paris, approximately 1100-1160	Sentences	Latin															
		Hugolinus de Urbe Veteri (c. 1380-c. 1457)	Distinctiones	Latin															
University College MS. 114		Priscian	Institutiones grammaticæ	Latin		vellum	White leather over bevelled wooden boards.	Opening initial in magenta with red flowerheads and green cusped leaves.	s. XV	1400	1500	England			34				
University College MS. 115			Old Testament (containing Pentateuch, Joshua, Judges, Ruth, Kings, Isaiah, fragments of Jeremiah, Prologues of St Jerome)	Latin	codex	vellum	Uncovered boards. "The first two quaternions of Deuteronomy may have been transposed in binding." (DHC)	"Fine and other initials (unfinished)." (IMOCL)	s. XII	1100	1200				34	Cat. No. 85			
University College MS. 116						vellum	Uncovered board, rebacked. Foredge painting.	Puzzle initials, penwork borders, manicules and faces in the margins. "Fine penwork borders, initials. Marginal scribbes [sic.]." (IMOCL)	s. XIIIex.	1250	1300			"olim Willelmi Wharton, postea Johannis Thorgott." (Coxe) "List of sermon subjects for the use of an order of Preachers, p. 306. John Thorgott, saec. xvi, pp. 1, 396." (IMOCL)	34	Cat. No. 237			
			Old Testament 	Latin															
			New Testatment (with Prologues of St Jerome)	Latin															
University College MS. 117		Augustine, Saint, Bishop of Hippo	Various works	Latin	codex	vellum	19th-century half morocco		s. XIIex. or XIIIin.	1150	1250	England. 		"olim liber eccl. S. Augustini Cantuar." (Coxe)	35				
University College MS. 118					codex	vellum	16th-century panelled calf ruled and roll tooled in blind (rebacked and restored)			1100	1300	England. 		"olim Willelmi Parkhous, postea coll. Univ. ex dono Tho. Walker, magistri." (Coxe)	35				
	1	Isidore, of Seville, Saint -636	Etymologiæ	Latin				Initials in blue and red or green and red, some foliate	s. XII										
	2	Avicenna, 980-1037	Practica	Latin				Flourish initials in red and blue	s. XIII										
University College MS. 119		Thomas, de Chobham, active 1200-1233	Summa pœnitentia	Latin		vellum	17th-century limp vellum		s. XIIIex.	1250	1300	England. 		"olim Thomæ de Billingham." (Coxe)	35				
University College MS. 120					codex	vellum	Contemporary limp vellum.	Colour-washed drawings. "Good miniatures (mainly coloured drawings)." (IMOCL)		1200	1450	England.		 William Rogers' name and year 1669 written on f. 1r.	36	Cat. No. 267			
	1		Bestiary	Latin					s. XIII										
	2	Burley, Walter, 1275-1345	De universalibus	Latin					s. XVex.										
University College MS. 122		William, of Pagula, approximately 1290-1332	Oculus sacerdotis (Part 1)	Latin		paper	Reused 13th-century leaf (stained)		s. XV	1400	1500	England.			36				
University College MS. 123					codex	vellum	16th-century blind stamped calf, roll tooled vertically with standing woman dragon, hunter and deer		s. XV	1400	1500	England. 		"ex dono Gulielmi Rogers. (Coxe)	36		p. 120		
		Bonaventure, Saint, Cardinal, approximately 1217-1274, pseudo	Speculum vitæ Christi, trans. Love, Nicholas, active 1410	Middle English (Buckinghamshire dialect)															
			A shorte tretis of the heiest and moste worthi sacrament of Cristis body and the miraclis theroff	Middle English (Buckinghamshire dialect)															
			Two devotional texts	Middle English (Buckinghamshire dialect)															
University College MS. 124		Aquinas, Thomas, Saint, 1225-1274	Quodlibeta	Latin	codex	vellum	Medieval white leather over wooden boards (restored)	Flourish initials in blue and red with extravagant marginal extensions	s. XIIIin.	1200	1250	England	Fountains Abbey	 "anno 1580 peculium Ricardi Tomsoni; deinde 1596 Willelmi Wraye, et denique coll. Univ. ex dono Tho. Walker, magistri." (Coxe)	37				
University College MS. 125		Melanchthon, Philipp, 1497-1560	Compendium interdecreti	Latin		paper	Vellum wrapper from 13th-century theological manuscript		s. XVI	1500	1600				37			Index in Italian added in 1549.	
University College MS. 129		Balbi, Giovanni, -1298	Catholicon	Latin		vellum	Contemporary white leather over bevelled wooden boards (lacking clasps and pins).	"Fine border, initials, added to an Italian MS. with penwork initials, saec. xiii2. Mutilated." (IMOCL)	s. XIV	1300	1400	England	Winchester	"olim capellæ S. Elizabthæ juxta Winton. ex sono Joh. Pountoyse 'quondam ep. Winton.' postea Ricardi Neuport, et anno 1667 Gulielmi Shippen." (Coxe) "Given by John de Pontisarra (Pontoise), bp. of Winchester (d. 1304), to the Chapel of the Hospital of St. Elizabeth of Hungary, Winchester, fols. I, 378v. William Shippen, fellow, rector of Stockport, Cheshire (d. 1693), fol. i." (IMOCL)	37	Cat. No. 714			
University College MS. 130			Old Testament (The Octateuch, Job, Kings, Ezekiel, Prologues of St Jerome)	Latin	codex	vellum	Contemporary tawed leather over boards with strap, pin and clasp.	"Fine historiated and other initials. Fine arabesque initials. Marginal sketches, fols. 1v, 124v." (IMOCL)	s. XII	1100	1200	England		 "Ex libris of St. Neot's priory, Hunts., fol 171v, saec. xic." (IMOCL)	38	Cat. No. 140			
University College MS. 138		Cicero, Marcus Tullius	De amicitia	Latin		vellum	19th-century half morocco		s. XII or XIII	1100	1300	England	St Augustine's Abbey, Canterbury	Canterbury (St Augustine's), England "olim Gul. Rogers, ex hospit. Lincoln. 1669." (Coxe)	38				
University College MS. 140				Greek	codex	paper	19th-century purple cloth	Diagrams.	s. XVI	1500	1600			Possibly given to Univ. by Mary Langbaine.	39				
		Manuel Byrennius	On harmonies 																
		Porphyry, approximately 234-approximately 305	Commentary on Ptolemy's Harmonies																
		Ptolemy, active 2nd century	Harmonies (Book III) 																
University College MS. 142				Middle English (South west Sussex dialect)	codex	vellum	Medieval wooden boards, stripped and rebacked with maroon morocco		s. XV	1400	1500	England		"olim Johannis Ramsey." (Coxe) Previously owned by Ricardus Rauf P L, John and William Weston de Ocham. Belonged to Gerald Langbaine. Possibly given to Univ. by Mary Langbaine.	39		p. 120-1		
		Rolle, Richard, 1290?-1349 (Richard Hampole)	Pricke of conscience					Red initials. Written by Thomas Plenus-amoris.											
			Printed treatise											Printed in London, 1530 (Coxe)					
			"Of seuen maystyrs of art"																
University College MS. 143		Peter Riga, approximately 1140-1209	Aurora	Latin	codex	vellum	19th-century calf (rubbed)		s. XIIIin.	1200	1250			Sudbury, England. Possibly given to Univ. by Mary Langbaine.	39				
University College MS. 145			Statutes of the Hospital at Ewelme	English		vellum	19th-century purple cloth		s. XVI	1500	1600	England.		 "Made by William de la Poole. Possibly given to Univ. by Mary Langbaine.	39				
University College MS. 148				Latin		vellum	Modern vellum		ss. XII to XIV	1100	1400	England.	Chichester.	 "olim Gerardi Langbaine, [coll. Reg. præposto filii] postea coll. Univ. ex dono Mariæ Langbaine viduæ, in gratiam mariti sui Gerardi muper defuncti, olim per multos annos hujus colegii superioris ordinis commensalis; anno Domini 1692." (Coxe)	40				
			Charters, rules, and liturgical texts relating to Chichester																
			Cartulary and rule St Mary's Hospital, Chichester 											Signed by John Cutchere, dean of Chichester, and dated 1447.					
University College MS. 154			Chronicle of England (Brut Chronicle)	Middle English		vellum	Late 15th-century panelled brown leather (worn)	Border and initial on opening folio, flourish initials throughout.	s. XV	1400	1500	England. 		"olim, ut videtur, Willelmi Manyngham, Christophori Purpilli, W. Bendloues, et Willelmi Bere." (Coxe) "Christopher Purpillus, 1604, pp. i, 241. Possibly given to Univ. by Mary Langbaine, widow of Gerard Langbaine (d. 1692)." (IMOCL)	42	Cat. No. 551	p. 121		
University College MS. 156		Netter, Thomas, approximately 1375-1430	De sacramentalibus	Latin		paper	19th-century calf. Almost certainly a Beckford binding. Printed waste endleaves from Bacon's Nova Atlantis.		s. XVex.	1475	1500	England.	Lincoln.	Copied out by John Rusell, bishop of Lincoln, in 1491-2. Probably given to Univ. by Mary Langbaine.	43				
University College MS. 158			Relationes casuum legalium	French and Latin	codex	vellum and paper	Speckled calf by Beckford		s. XVIex.	1550	1600	England. 		Probably given to Univ. by Mary Langbaine.	43				
University College MS. 165				Latin	codex	vellum	Durham, c. 1120.	One miniature in full colour, colour washed drawings, historiated and decorated initials.	s. XII	1100	1200	England	Durham.	 "olim M. Lelonde, Joh. Theyer de Cowpers Hill juxta Glouc., Fulconis Wallwyn, ex dono Danielis Bacheler, Willelmi et Thomæ Leigh, et denique coll. Univ. ex dono Gul. Rogers." (Coxe) Southwick (Ker)	45	Cat. No. 17.			
		Bede, the Venerable, Saint, 673-735	Vita et miracula S. Cuthberti																
			Prayer to St Cuthbert																
University College MS. 166			Rental of Salisbury Cathedral	Latin	codex	vellum			s. XIV	1300	1400	England			45				
University College MS. 167			Fountains Abbey, Cartulary, with Cistercian privileges to 1490	Latin	codex	vellum	White leather over boards, chemise lacking pins and most of straps with clasps.		s. XVex.	1450	1500	England	Fountains Abbey		45				
University College MS. 168				Latin	codex	vellum	Contemporary binding of white leather over bevelled wooden boards flush to page edge, strap trimmed from upper board. 	"Good historiated initial. Fine borders in an unusual style, fine and other initials. Fine penwork initials. Marginal drawings (catchwords), later pencil sketches, saec. xvi." (IMOCL)	s. XV	1400	1500	England.			46	Cat. No. 419			
			Collection of commentaries on Song of Songs; 																
		Bede, the Venerable, Saint, 673-735	Commentaries (Song of Songs, the Gospels of Mark and Luke)																
University College MS. 169			Barking Abbey, Ordinale	Latin & Middle English 	codex	vellum	"New Bound. 1731." (note on inside upper board) 1731 panelled reversed calf, lacking clasps	Illuminated initials, penwork initials with faces. "Fine borders, initials. Fine penwork initials." (IMOCL)	s. XVin.	1400	1450	England	Barking Abbey	Note of f. 6v: "Memorandum quod anno domini millesimo quadragintesimo quarto domina Sibilla . . . Abbatissa de Berkyng hunc librum ad usum Abbatissarum in dicta domo . . . concessit." "Commissioned and given to Barking abbey in 1404 by Sibilla de Felton, abbess 1394-1419, p. 2. Obits of Barking abbesses, fols. i-v, saec. xv. Obadiah Walker, master 1676-89. Sold at the sale of John Humphrey of Rothwell, 4 Dec., 1682, lot 20." (IMOCL) 	47	Cat. No. 387	p. 121		
University College MS. 170			Fountains Abbey, Cartulary	Latin		vellum	19th-century reversed calf		s. XII or XIII	1100	1300	England. 		"ex dono Hugonis Todd socii, 1696." (DHC)	47				
University College MS. 172		Gregory, X, Pope, -1276	Constitutions of the Second Council of Lyon 1274	Latin		vellum	19th-century cloth		s. XIV	1300	1400	England. 		"olim Gul. Rogers, 1669." (Coxe)	47				
University College MS. 177 A-B		Higden, Ranulf, -1364	Polychronicon (with prologue)		codex	vellum	Contemporary white leather chemise over straight-edge wooden boards. Bookmarker in Vol. I	Puzzle initials with grotesques in the margins. "Fine penwork borders, initials." (IMOCL)	s. XIVex.	1350	1400	England. 		"olim Thomæ Sparchi ex dono Matthæi Piggotti." (Coxe) "Evidence for Barnwell priory, Cambridgeshire, from obits in the margin." (IMOCL)	48	Cat. No. 342			
University College MS. 178			Missal (fragments)	Latin		vellum	19th-century hogskin.	Initials and borders.	s. XIVex.	1350	1400	England. 		"University College chapel. Obits in the calendar: magister Walker Skirlaw, bp. of Durham, 1406; Henry Percy, 1455. Note on the dedication of the Chapel to St. Cuthbert, 1476." (IMOCL)	48	Cat. No. 349			
University College MS. 179			Devotional book, including: Prayers, Hours of the Blessed Virgin Mary, Placebo, Seven Penitential Psalms, Litany	Latin & Middle English	codex	vellum	18th-century limp vellum.		s. XV	1400	1500	England.		 Given by Francis Rockley (DHC).	49		pp. 121-4; 132-5		
University College MS. 180						vellum	19th-century cloth		ss. XII or s. XIII	1100	1300	England. 		"olim Thomæ Ailesbury, clerici." (Coxe)					
			Gospels	Latin															
			Glossing on Song of Songs	Latin															
			Sermon on Lucerna pedibus meis (Psalm 119.105)	Latin															
			Book of Job, glossed (fragment)	Latin															
			Catalogue, of works by Anselm and Augustine	Latin															
University College MS. 181					codex	vellum	Original leather over bevelled boards sewn into white leather chemise, lined with blue and white striped cloth, metal bosses on upper and lower covers (lacking clasps and pins). 	"Fine borders, fine and other initials. Miniatures pasted in and removed." (IMOCL)	s. XVin.	1400	1450	England. 		"olim, anno scilicet 1491, Henrici Percei de N. postea, anno 1577, Roberti Hedrington." (Coxe) "Given in 1490 to dominus Henry Percy, prior of Newnham, Bedfordshire, by his predecessor, Johannis Renhall, fol. 40v. Robert Hendrington, 1577, fol. 1." (IMOCL)		Cat. No. 560	p. 124		
		Guillaume, de Déguileville, 1295-1360	The pilgrimage of the soul	Middle English															
		Hoccleve, Thomas, 1370?-1450?	Compleynte paramont	Middle English															
University College MS. 188			Romance of Parthenopex (lacking at beginning and end)	Middle English	codex	vellum	19th-century morocco	Some bastard secretary script.	s. XIVex.	1375	1450	England.			51				
University College MS. 190		Petrus, Comestor, active 12th century	Historia scholastica	Latin	codex	vellum	19th-century half morocco	Diagram of the Temple.	s. XIIex./s. XIII	1175	1250	England.		 “Belonged to the Dominicans of Beverley in s. xv, if not in s. xiii: ‘Fratrium predicatorum’ at the head of f. 1 and ‘fratris Roberti de Eston’ at the foot, both probably in the same hand, s. xiii; ‘Conuentus Beuerlaci’ f. 137, s. xv, ‘C. Hyldyard’ MS 113, f. 169, s. xvi, may have been written before or after the last four leaves of art. 2 were transferred to MS. 113: the same name is on MS. 113, f. 1.  Both manuscripts were the gift of Obadiah Walker, master 1676-9.” (Ker)					
University College MS. 191		Gregory, I, Pope, approximately 540-604	Homilies	Latin	codex	vellum	Half-morocco over medieval boards (lacking clasps and catches)	Large green and red initials with foliate patterns, one blue initial with red pattern.	s. XII	1100	1200	England. 		Cistercian. "[Liber] sancta M[arie] d[e….] anathema sit." (f. 4v)					
University College MS. 192			Fragments, removed from bindings of other manuscripts. 		guardbook	vellum	19th-century cloth	Colour initials.	ss. XII - XV	1100	1500	England. 		Possibly copied for choirbook of King Henry VI.		Cat. No. 655			
			Antiphonary	Latin															
			Gradual	Latin															
			Will of Simon de Bredon	Latin															
			Will of Stephanus atte Roche	Latin															
			Musical fragments from a royal choirbook including Credo by Thomas Damett	Latin															
University College MS. 208			Fragments, removed from the bindings of University College MS. 41						s. XIII - XIV	1200	1400								
